Ion = Lithium     , Mass = 7.016
Tgt =  C (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
4.968E+00   6.160E+00  5.787E+00 
5.067E+00   6.222E+00  5.744E+00 
5.169E+00   6.284E+00  5.700E+00 
5.272E+00   6.346E+00  5.656E+00 
5.377E+00   6.409E+00  5.612E+00 
5.485E+00   6.473E+00  5.568E+00 
5.595E+00   6.537E+00  5.524E+00 
5.707E+00   6.602E+00  5.480E+00 
5.821E+00   6.668E+00  5.436E+00 
5.937E+00   6.735E+00  5.392E+00 
6.056E+00   6.802E+00  5.347E+00 
6.177E+00   6.869E+00  5.303E+00 
6.301E+00   6.938E+00  5.259E+00 
6.427E+00   7.007E+00  5.215E+00 
6.555E+00   7.076E+00  5.170E+00 
6.686E+00   7.147E+00  5.126E+00 
6.820E+00   7.218E+00  5.082E+00 
6.956E+00   7.290E+00  5.038E+00 
7.095E+00   7.362E+00  4.994E+00 
7.237E+00   7.435E+00  4.950E+00 
7.382E+00   7.509E+00  4.906E+00 
7.530E+00   7.584E+00  4.862E+00 
7.680E+00   7.660E+00  4.818E+00 
7.834E+00   7.736E+00  4.774E+00 
7.991E+00   7.813E+00  4.730E+00 
8.150E+00   7.891E+00  4.687E+00 
8.313E+00   7.969E+00  4.643E+00 
8.480E+00   8.048E+00  4.600E+00 
8.649E+00   8.128E+00  4.556E+00 
8.822E+00   8.209E+00  4.513E+00 
8.999E+00   8.291E+00  4.470E+00 
9.179E+00   8.374E+00  4.427E+00 
9.362E+00   8.457E+00  4.384E+00 
9.550E+00   8.541E+00  4.341E+00 
9.740E+00   8.626E+00  4.299E+00 
9.935E+00   8.712E+00  4.256E+00 
1.013E+01   8.798E+00  4.214E+00 
1.034E+01   8.886E+00  4.172E+00 
1.054E+01   8.974E+00  4.130E+00 
1.075E+01   9.064E+00  4.088E+00 
1.097E+01   9.154E+00  4.047E+00 
1.119E+01   9.245E+00  4.006E+00 
1.141E+01   9.337E+00  3.964E+00 
1.164E+01   9.430E+00  3.923E+00 
1.187E+01   9.524E+00  3.883E+00 
1.211E+01   9.619E+00  3.842E+00 
1.235E+01   9.714E+00  3.802E+00 
1.260E+01   9.811E+00  3.761E+00 
1.285E+01   9.909E+00  3.721E+00 
1.311E+01   1.001E+01  3.682E+00 
1.337E+01   1.011E+01  3.642E+00 
1.364E+01   1.021E+01  3.603E+00 
1.391E+01   1.031E+01  3.564E+00 
1.419E+01   1.040E+01  3.525E+00 
1.447E+01   1.049E+01  3.486E+00 
1.476E+01   1.058E+01  3.448E+00 
1.506E+01   1.068E+01  3.410E+00 
1.536E+01   1.077E+01  3.372E+00 
1.567E+01   1.086E+01  3.334E+00 
1.598E+01   1.096E+01  3.297E+00 
1.630E+01   1.105E+01  3.260E+00 
1.663E+01   1.115E+01  3.223E+00 
1.696E+01   1.124E+01  3.186E+00 
1.730E+01   1.134E+01  3.150E+00 
1.764E+01   1.144E+01  3.114E+00 
1.800E+01   1.154E+01  3.078E+00 
1.836E+01   1.164E+01  3.042E+00 
1.872E+01   1.174E+01  3.007E+00 
1.910E+01   1.185E+01  2.972E+00 
1.948E+01   1.195E+01  2.937E+00 
1.987E+01   1.206E+01  2.902E+00 
2.027E+01   1.216E+01  2.868E+00 
2.067E+01   1.227E+01  2.834E+00 
2.109E+01   1.238E+01  2.800E+00 
2.151E+01   1.249E+01  2.767E+00 
2.194E+01   1.260E+01  2.734E+00 
2.238E+01   1.271E+01  2.701E+00 
2.282E+01   1.282E+01  2.668E+00 
2.328E+01   1.293E+01  2.636E+00 
2.375E+01   1.305E+01  2.604E+00 
2.422E+01   1.317E+01  2.572E+00 
2.471E+01   1.328E+01  2.540E+00 
2.520E+01   1.340E+01  2.509E+00 
2.570E+01   1.352E+01  2.478E+00 
2.622E+01   1.364E+01  2.448E+00 
2.674E+01   1.377E+01  2.417E+00 
2.728E+01   1.389E+01  2.387E+00 
2.782E+01   1.401E+01  2.357E+00 
2.838E+01   1.414E+01  2.328E+00 
2.895E+01   1.427E+01  2.298E+00 
2.952E+01   1.440E+01  2.269E+00 
3.012E+01   1.453E+01  2.240E+00 
3.072E+01   1.466E+01  2.212E+00 
3.133E+01   1.479E+01  2.184E+00 
3.196E+01   1.492E+01  2.156E+00 
3.260E+01   1.506E+01  2.128E+00 
3.325E+01   1.520E+01  2.101E+00 
3.391E+01   1.534E+01  2.074E+00 
3.459E+01   1.548E+01  2.047E+00 
3.529E+01   1.562E+01  2.020E+00 
3.599E+01   1.576E+01  1.994E+00 
3.671E+01   1.590E+01  1.968E+00 
3.744E+01   1.605E+01  1.942E+00 
3.819E+01   1.620E+01  1.917E+00 
3.896E+01   1.635E+01  1.891E+00 
3.974E+01   1.650E+01  1.866E+00 
4.053E+01   1.665E+01  1.842E+00 
4.134E+01   1.680E+01  1.817E+00 
4.217E+01   1.696E+01  1.793E+00 
4.301E+01   1.711E+01  1.769E+00 
4.387E+01   1.727E+01  1.746E+00 
4.475E+01   1.743E+01  1.722E+00 
4.565E+01   1.759E+01  1.699E+00 
4.656E+01   1.776E+01  1.676E+00 
4.749E+01   1.792E+01  1.653E+00 
4.844E+01   1.809E+01  1.631E+00 
4.941E+01   1.825E+01  1.609E+00 
5.040E+01   1.842E+01  1.587E+00 
5.140E+01   1.859E+01  1.565E+00 
5.243E+01   1.877E+01  1.544E+00 
5.348E+01   1.894E+01  1.523E+00 
5.455E+01   1.912E+01  1.502E+00 
5.564E+01   1.929E+01  1.481E+00 
5.675E+01   1.947E+01  1.461E+00 
5.789E+01   1.965E+01  1.441E+00 
5.905E+01   1.983E+01  1.421E+00 
6.023E+01   2.002E+01  1.401E+00 
6.143E+01   2.020E+01  1.381E+00 
6.266E+01   2.039E+01  1.362E+00 
6.391E+01   2.057E+01  1.343E+00 
6.519E+01   2.076E+01  1.324E+00 
6.650E+01   2.095E+01  1.306E+00 
6.783E+01   2.114E+01  1.287E+00 
6.918E+01   2.134E+01  1.269E+00 
7.057E+01   2.153E+01  1.251E+00 
7.198E+01   2.172E+01  1.234E+00 
7.342E+01   2.192E+01  1.216E+00 
7.489E+01   2.212E+01  1.124E+00 
7.638E+01   2.231E+01  1.108E+00 
7.791E+01   2.251E+01  1.093E+00 
7.947E+01   2.271E+01  1.077E+00 
8.106E+01   2.291E+01  1.062E+00 
8.268E+01   2.311E+01  1.047E+00 
8.433E+01   2.331E+01  1.033E+00 
8.602E+01   2.352E+01  1.018E+00 
8.774E+01   2.372E+01  1.004E+00 
8.950E+01   2.392E+01  9.894E-01 
9.129E+01   2.412E+01  9.754E-01 
9.311E+01   2.433E+01  9.615E-01 
9.497E+01   2.453E+01  9.478E-01 
9.687E+01   2.473E+01  9.342E-01 
9.881E+01   2.494E+01  9.208E-01 
1.008E+02   2.514E+01  9.076E-01 
1.028E+02   2.534E+01  8.945E-01 
1.049E+02   2.555E+01  8.817E-01 
1.070E+02   2.575E+01  8.689E-01 
1.091E+02   2.595E+01  8.564E-01 
1.113E+02   2.616E+01  8.439E-01 
1.135E+02   2.636E+01  8.317E-01 
1.158E+02   2.656E+01  8.196E-01 
1.181E+02   2.677E+01  8.077E-01 
1.204E+02   2.697E+01  7.959E-01 
1.229E+02   2.718E+01  7.842E-01 
1.253E+02   2.738E+01  7.727E-01 
1.278E+02   2.759E+01  7.614E-01 
1.304E+02   2.779E+01  7.502E-01 
1.330E+02   2.800E+01  7.392E-01 
1.356E+02   2.821E+01  7.283E-01 
1.384E+02   2.842E+01  7.175E-01 
1.411E+02   2.864E+01  7.069E-01 
1.439E+02   2.885E+01  6.964E-01 
1.468E+02   2.907E+01  6.861E-01 
1.498E+02   2.929E+01  6.759E-01 
1.528E+02   2.951E+01  6.658E-01 
1.558E+02   2.974E+01  6.559E-01 
1.589E+02   2.997E+01  6.461E-01 
1.621E+02   3.020E+01  6.364E-01 
1.654E+02   3.044E+01  6.269E-01 
1.687E+02   3.068E+01  6.175E-01 
1.720E+02   3.093E+01  6.082E-01 
1.755E+02   3.118E+01  5.991E-01 
1.790E+02   3.144E+01  5.901E-01 
1.826E+02   3.170E+01  5.812E-01 
1.862E+02   3.197E+01  5.724E-01 
1.899E+02   3.224E+01  5.637E-01 
1.937E+02   3.252E+01  5.552E-01 
1.976E+02   3.280E+01  5.468E-01 
2.016E+02   3.309E+01  5.385E-01 
2.056E+02   3.339E+01  5.303E-01 
2.097E+02   3.369E+01  5.222E-01 
2.139E+02   3.400E+01  5.142E-01 
2.182E+02   3.431E+01  5.064E-01 
2.225E+02   3.463E+01  4.987E-01 
2.270E+02   3.496E+01  4.910E-01 
2.315E+02   3.529E+01  4.835E-01 
2.362E+02   3.563E+01  4.761E-01 
2.409E+02   3.598E+01  4.688E-01 
2.457E+02   3.633E+01  4.616E-01 
2.506E+02   3.669E+01  4.545E-01 
2.556E+02   3.706E+01  4.475E-01 
2.607E+02   3.743E+01  4.406E-01 
2.660E+02   3.781E+01  4.338E-01 
2.713E+02   3.819E+01  4.270E-01 
2.767E+02   3.858E+01  4.204E-01 
2.822E+02   3.898E+01  4.139E-01 
2.879E+02   3.938E+01  4.075E-01 
2.936E+02   3.979E+01  4.012E-01 
2.995E+02   4.020E+01  3.949E-01 
3.055E+02   4.062E+01  3.888E-01 
3.116E+02   4.105E+01  3.827E-01 
3.178E+02   4.148E+01  3.767E-01 
3.242E+02   4.191E+01  3.709E-01 
3.307E+02   4.235E+01  3.651E-01 
3.373E+02   4.280E+01  3.594E-01 
